M,T,K,epsilon,result
50,0.7,2,0.63,0.1
50,0.75,2,0.63,0.15
50,0.8,2,0.63,0.256
50,0.85,2,0.63,0.366
50,0.9,2,0.63,0.542
50,0.95,2,0.63,0.73
50,1.0,2,0.63,0.864
100,0.7,2,0.63,0.092
100,0.75,2,0.63,0.224
100,0.8,2,0.63,0.398
100,0.85,2,0.63,0.616
100,0.9,2,0.63,0.83
100,0.95,2,0.63,0.94
100,1.0,2,0.63,0.984
200,0.7,2,0.63,0.126
200,0.75,2,0.63,0.322
200,0.8,2,0.63,0.61
200,0.85,2,0.63,0.866
200,0.9,2,0.63,0.978
200,0.95,2,0.63,0.998
200,1.0,2,0.63,1.0
500,0.7,2,0.63,0.176
500,0.75,2,0.63,0.564
500,0.8,2,0.63,0.928
500,0.85,2,0.63,0.996
500,0.9,2,0.63,1.0
500,0.95,2,0.63,1.0
500,1.0,2,0.63,1.0
1000,0.7,2,0.63,0.282
1000,0.75,2,0.63,0.832
1000,0.8,2,0.63,0.994
1000,0.85,2,0.63,0.998
1000,0.9,2,0.63,1.0
1000,0.95,2,0.63,1.0
1000,1.0,2,0.63,1.0
50,0.5,2,0.63,0.01
50,0.55,2,0.63,0.03
50,0.6,2,0.63,0.03
50,0.63,2,0.63,0.07
100,0.5,2,0.63,0.0
100,0.55,2,0.63,0.02
100,0.6,2,0.63,0.01
100,0.63,2,0.63,0.07
200,0.5,2,0.63,0.0
200,0.55,2,0.63,0.0
200,0.6,2,0.63,0.01
200,0.63,2,0.63,0.03
500,0.5,2,0.63,0.0
500,0.55,2,0.63,0.0
500,0.6,2,0.63,0.01
500,0.63,2,0.63,0.07
1000,0.5,2,0.63,0.0
1000,0.55,2,0.63,0.0
1000,0.6,2,0.63,0.0
1000,0.63,2,0.63,0.051
