M,T,K,epsilon,result
50,0.5,2,0.65,0.0
50,0.5,2,0.75,0.0
50,0.55,2,0.65,0.0
50,0.55,2,0.75,0.0
50,0.6,2,0.65,0.0
50,0.6,2,0.75,0.0
50,0.65,2,0.65,0.04
50,0.65,2,0.75,0.0
50,0.7,2,0.75,0.0
50,0.75,2,0.75,0.1
100,0.5,2,0.65,0.0
100,0.5,2,0.75,0.0
100,0.55,2,0.65,0.0
100,0.55,2,0.75,0.0
100,0.6,2,0.65,0.0
100,0.6,2,0.75,0.0
100,0.65,2,0.65,0.06
100,0.65,2,0.75,0.0
100,0.7,2,0.75,0.01
100,0.75,2,0.75,0.05
200,0.5,2,0.65,0.0
200,0.5,2,0.75,0.0
200,0.55,2,0.65,0.0
200,0.55,2,0.75,0.0
200,0.6,2,0.65,0.0
200,0.6,2,0.75,0.0
200,0.65,2,0.65,0.06
200,0.65,2,0.75,0.0
200,0.7,2,0.75,0.0
200,0.75,2,0.75,0.07
250,0.5,2,0.65,0.0
250,0.5,2,0.75,0.0
250,0.55,2,0.65,0.0
250,0.55,2,0.75,0.0
250,0.6,2,0.65,0.0
250,0.6,2,0.75,0.0
250,0.65,2,0.65,0.08
250,0.65,2,0.75,0.0
250,0.7,2,0.75,0.0
250,0.75,2,0.75,0.05
300,0.5,2,0.65,0.0
300,0.5,2,0.75,0.0
300,0.55,2,0.65,0.0
300,0.55,2,0.75,0.0
300,0.6,2,0.65,0.0
300,0.6,2,0.75,0.0
300,0.65,2,0.65,0.04
300,0.65,2,0.75,0.0
300,0.7,2,0.75,0.0
300,0.75,2,0.75,0.08
350,0.5,2,0.65,0.0
350,0.5,2,0.75,0.0
350,0.55,2,0.65,0.0
350,0.55,2,0.75,0.0
350,0.6,2,0.65,0.0
350,0.6,2,0.75,0.0
350,0.65,2,0.65,0.06
350,0.65,2,0.75,0.0
350,0.7,2,0.75,0.0
350,0.75,2,0.75,0.08
400,0.5,2,0.65,0.0
400,0.5,2,0.75,0.0
400,0.55,2,0.65,0.0
400,0.55,2,0.75,0.0
400,0.6,2,0.65,0.0
400,0.6,2,0.75,0.0
400,0.65,2,0.65,0.05
400,0.65,2,0.75,0.0
400,0.7,2,0.75,0.0
400,0.75,2,0.75,0.05
450,0.5,2,0.65,0.0
450,0.5,2,0.75,0.0
450,0.55,2,0.65,0.0
450,0.55,2,0.75,0.0
450,0.6,2,0.65,0.0
450,0.6,2,0.75,0.0
450,0.65,2,0.65,0.07
450,0.65,2,0.75,0.0
450,0.7,2,0.75,0.0
450,0.75,2,0.75,0.03
500,0.5,2,0.65,0.0
500,0.5,2,0.75,0.0
500,0.55,2,0.65,0.0
500,0.55,2,0.75,0.0
500,0.6,2,0.65,0.0
500,0.6,2,0.75,0.0
500,0.65,2,0.65,0.04
500,0.65,2,0.75,0.0
500,0.7,2,0.75,0.0
500,0.75,2,0.75,0.03
1000,0.5,2,0.65,0.0
1000,0.5,2,0.75,0.0
1000,0.55,2,0.65,0.0
1000,0.55,2,0.75,0.0
1000,0.6,2,0.65,0.0
1000,0.6,2,0.75,0.0
1000,0.65,2,0.65,0.08
1000,0.65,2,0.75,0.0
1000,0.7,2,0.75,0.0
1000,0.75,2,0.75,0.07
50,0.7,2,0.65,0.29
50,0.75,2,0.65,0.71
50,0.8,2,0.65,0.91
50,0.8,2,0.75,0.26
50,0.85,2,0.65,1.0
50,0.85,2,0.75,0.71
50,0.9,2,0.65,1.0
50,0.9,2,0.75,0.95
50,0.95,2,0.65,1.0
50,0.95,2,0.75,1.0
50,1.0,2,0.65,1.0
50,1.0,2,0.75,1.0
100,0.7,2,0.65,0.45
100,0.75,2,0.65,0.87
100,0.8,2,0.65,1.0
100,0.8,2,0.75,0.49
100,0.85,2,0.65,1.0
100,0.85,2,0.75,0.95
100,0.9,2,0.65,1.0
100,0.9,2,0.75,1.0
100,0.95,2,0.65,1.0
100,0.95,2,0.75,1.0
100,1.0,2,0.65,1.0
100,1.0,2,0.75,1.0
200,0.7,2,0.65,0.62
200,0.75,2,0.65,0.95
