M,T,K,epsilon,result
50,0.5,2,0.63,0.0
50,0.5,2,0.75,0.0
50,0.55,2,0.63,0.01
50,0.55,2,0.75,0.0
50,0.6,2,0.63,0.03
50,0.6,2,0.75,0.0
50,0.63,2,0.63,0.08
50,0.63,2,0.75,0.0
50,0.7,2,0.75,0.05
50,0.75,2,0.75,0.04
100,0.5,2,0.63,0.0
100,0.5,2,0.75,0.0
100,0.55,2,0.63,0.01
100,0.55,2,0.75,0.0
100,0.6,2,0.63,0.02
100,0.6,2,0.75,0.0
100,0.63,2,0.63,0.06
100,0.63,2,0.75,0.0
100,0.7,2,0.75,0.01
100,0.75,2,0.75,0.071
200,0.5,2,0.63,0.0
200,0.5,2,0.75,0.0
200,0.55,2,0.63,0.0
200,0.55,2,0.75,0.0
200,0.6,2,0.63,0.0
200,0.6,2,0.75,0.0
200,0.63,2,0.63,0.031
200,0.63,2,0.75,0.0
200,0.7,2,0.75,0.0
200,0.75,2,0.75,0.059
500,0.5,2,0.63,0.0
500,0.5,2,0.75,0.0
500,0.55,2,0.63,0.0
500,0.55,2,0.75,0.0
500,0.6,2,0.63,0.0
500,0.6,2,0.75,0.0
500,0.63,2,0.63,0.051
500,0.63,2,0.75,0.0
500,0.7,2,0.75,0.0
500,0.75,2,0.75,0.052
1000,0.5,2,0.63,0.0
1000,0.5,2,0.75,0.0
1000,0.55,2,0.63,0.0
1000,0.55,2,0.75,0.0
1000,0.6,2,0.63,0.0
1000,0.6,2,0.75,0.0
1000,0.63,2,0.63,0.04
1000,0.63,2,0.75,0.0
1000,0.7,2,0.75,0.0
1000,0.75,2,0.75,0.05
50,0.7,2,0.63,0.11
50,0.75,2,0.63,0.206
50,0.8,2,0.63,0.312
50,0.8,2,0.75,0.128
50,0.85,2,0.63,0.512
50,0.85,2,0.75,0.258
50,0.9,2,0.63,0.652
50,0.9,2,0.75,0.428
50,0.95,2,0.63,0.82
50,0.95,2,0.75,0.634
50,1.0,2,0.63,0.944
50,1.0,2,0.75,0.846
100,0.7,2,0.63,0.114
100,0.75,2,0.63,0.256
100,0.8,2,0.63,0.488
100,0.8,2,0.75,0.192
100,0.85,2,0.63,0.812
100,0.85,2,0.75,0.366
100,0.9,2,0.63,0.932
100,0.9,2,0.75,0.682
100,0.95,2,0.63,0.982
100,0.95,2,0.75,0.86
100,1.0,2,0.63,1.0
100,1.0,2,0.75,0.996
200,0.7,2,0.63,0.16
200,0.75,2,0.63,0.458
200,0.8,2,0.63,0.788
200,0.8,2,0.75,0.274
200,0.85,2,0.63,0.948
200,0.85,2,0.75,0.632
200,0.9,2,0.63,0.996
200,0.9,2,0.75,0.9
200,0.95,2,0.63,1.0
200,0.95,2,0.75,0.996
200,1.0,2,0.63,1.0
200,1.0,2,0.75,1.0
500,0.7,2,0.63,0.262
500,0.75,2,0.63,0.738
500,0.8,2,0.63,0.978
500,0.8,2,0.75,0.472
500,0.85,2,0.63,1.0
500,0.85,2,0.75,0.892
500,0.9,2,0.63,1.0
500,0.9,2,0.75,0.996
500,0.95,2,0.63,1.0
500,0.95,2,0.75,1.0
500,1.0,2,0.63,1.0
500,1.0,2,0.75,1.0
1000,0.7,2,0.63,0.356
1000,0.75,2,0.63,0.936
1000,0.8,2,0.63,1.0
1000,0.8,2,0.75,0.638
1000,0.85,2,0.63,1.0
1000,0.85,2,0.75,0.992
1000,0.9,2,0.63,1.0
1000,0.9,2,0.75,1.0
1000,0.95,2,0.63,1.0
1000,0.95,2,0.75,1.0
1000,1.0,2,0.63,1.0
1000,1.0,2,0.75,1.0
