M,T,K,epsilon,result
50,0.5,2,0.67,0.0
50,0.55,2,0.67,0.01
50,0.6,2,0.67,0.03
50,0.67,2,0.67,0.08
100,0.5,2,0.67,0.0
100,0.55,2,0.67,0.01
100,0.6,2,0.67,0.02
100,0.67,2,0.67,0.06
200,0.5,2,0.67,0.0
200,0.55,2,0.67,0.0
200,0.6,2,0.67,0.0
200,0.67,2,0.67,0.031
500,0.5,2,0.67,0.0
500,0.55,2,0.67,0.0
500,0.6,2,0.67,0.0
500,0.67,2,0.67,0.051
1000,0.5,2,0.67,0.0
1000,0.55,2,0.67,0.0
1000,0.6,2,0.67,0.0
1000,0.67,2,0.67,0.04
50,0.7,2,0.67,0.11
50,0.75,2,0.67,0.206
50,0.8,2,0.67,0.312
50,0.85,2,0.67,0.512
50,0.9,2,0.67,0.652
50,0.95,2,0.67,0.82
50,1.0,2,0.67,0.944
100,0.7,2,0.67,0.114
100,0.75,2,0.67,0.256
100,0.8,2,0.67,0.488
100,0.85,2,0.67,0.812
100,0.9,2,0.67,0.932
100,0.95,2,0.67,0.982
100,1.0,2,0.67,1.0
200,0.7,2,0.67,0.16
200,0.75,2,0.67,0.458
200,0.8,2,0.67,0.788
200,0.85,2,0.67,0.948
200,0.9,2,0.67,0.996
200,0.95,2,0.67,1.0
200,1.0,2,0.67,1.0
500,0.7,2,0.67,0.262
500,0.75,2,0.67,0.738
500,0.8,2,0.67,0.978
500,0.85,2,0.67,1.0
500,0.9,2,0.67,1.0
500,0.95,2,0.67,1.0
500,1.0,2,0.67,1.0
1000,0.7,2,0.67,0.356
1000,0.75,2,0.67,0.936
1000,0.8,2,0.67,1.0
1000,0.85,2,0.67,1.0
1000,0.9,2,0.67,1.0
1000,0.95,2,0.67,1.0
1000,1.0,2,0.67,1.0
