M,T,K,epsilon,result
50,0.25,2,0.65,0.24
50,0.25,2,0.75,0.04
50,0.3,2,0.65,0.12
50,0.3,2,0.75,0.04
50,0.35,2,0.65,0.09
50,0.35,2,0.75,0.02
50,0.4,2,0.65,0.04
50,0.4,2,0.75,0.0
50,0.45,2,0.65,0.01
50,0.45,2,0.75,0.0
50,0.5,2,0.65,0.01
50,0.5,2,0.75,0.0
50,0.55,2,0.65,0.03
50,0.55,2,0.75,0.0
50,0.6,2,0.65,0.02
50,0.6,2,0.75,0.0
50,0.65,2,0.65,0.04
50,0.65,2,0.75,0.01
50,0.7,2,0.75,0.03
50,0.75,2,0.75,0.04
100,0.25,2,0.65,0.39
100,0.25,2,0.75,0.05
100,0.3,2,0.65,0.22
100,0.3,2,0.75,0.0
100,0.35,2,0.65,0.11
100,0.35,2,0.75,0.0
100,0.4,2,0.65,0.01
100,0.4,2,0.75,0.0
100,0.45,2,0.65,0.0
100,0.45,2,0.75,0.0
100,0.5,2,0.65,0.0
100,0.5,2,0.75,0.0
100,0.55,2,0.65,0.0
100,0.55,2,0.75,0.0
100,0.6,2,0.65,0.04
100,0.6,2,0.75,0.0
100,0.65,2,0.65,0.06
100,0.65,2,0.75,0.0
100,0.7,2,0.75,0.0
100,0.75,2,0.75,0.07
200,0.25,2,0.65,0.56
200,0.25,2,0.75,0.07
200,0.3,2,0.65,0.22
200,0.3,2,0.75,0.01
200,0.35,2,0.65,0.09
200,0.35,2,0.75,0.0
200,0.4,2,0.65,0.01
200,0.4,2,0.75,0.0
200,0.45,2,0.65,0.0
200,0.45,2,0.75,0.0
200,0.5,2,0.65,0.0
200,0.5,2,0.75,0.0
200,0.55,2,0.65,0.0
200,0.55,2,0.75,0.0
200,0.6,2,0.65,0.01
200,0.6,2,0.75,0.0
200,0.65,2,0.65,0.1
200,0.65,2,0.75,0.0
200,0.7,2,0.75,0.02
200,0.75,2,0.75,0.02
250,0.25,2,0.65,0.58
250,0.25,2,0.75,0.05
250,0.3,2,0.65,0.29
250,0.3,2,0.75,0.0
250,0.35,2,0.65,0.06
250,0.35,2,0.75,0.0
250,0.4,2,0.65,0.02
250,0.4,2,0.75,0.0
250,0.45,2,0.65,0.0
250,0.45,2,0.75,0.0
250,0.5,2,0.65,0.0
250,0.5,2,0.75,0.0
250,0.55,2,0.65,0.0
250,0.55,2,0.75,0.0
250,0.6,2,0.65,0.01
250,0.6,2,0.75,0.0
250,0.65,2,0.65,0.06
250,0.65,2,0.75,0.0
250,0.7,2,0.75,0.0
250,0.75,2,0.75,0.07
300,0.25,2,0.65,0.65
300,0.25,2,0.75,0.07
300,0.3,2,0.65,0.38
300,0.3,2,0.75,0.0
300,0.35,2,0.65,0.05
300,0.35,2,0.75,0.0
300,0.4,2,0.65,0.0
300,0.4,2,0.75,0.0
300,0.45,2,0.65,0.0
300,0.45,2,0.75,0.0
300,0.5,2,0.65,0.0
300,0.5,2,0.75,0.0
300,0.55,2,0.65,0.0
300,0.55,2,0.75,0.0
300,0.6,2,0.65,0.0
300,0.6,2,0.75,0.0
300,0.65,2,0.65,0.11
300,0.65,2,0.75,0.0
300,0.7,2,0.75,0.01
300,0.75,2,0.75,0.07
350,0.25,2,0.65,0.76
350,0.25,2,0.75,0.11
350,0.3,2,0.65,0.42
350,0.3,2,0.75,0.0
350,0.35,2,0.65,0.03
350,0.35,2,0.75,0.0
350,0.4,2,0.65,0.0
350,0.4,2,0.75,0.0
350,0.45,2,0.65,0.0
350,0.45,2,0.75,0.0
350,0.5,2,0.65,0.0
350,0.5,2,0.75,0.0
350,0.55,2,0.65,0.0
350,0.55,2,0.75,0.0
350,0.6,2,0.65,0.0
350,0.6,2,0.75,0.0
350,0.65,2,0.65,0.07
350,0.65,2,0.75,0.0
350,0.7,2,0.75,0.0
350,0.75,2,0.75,0.06
400,0.25,2,0.65,0.88
400,0.25,2,0.75,0.08
400,0.3,2,0.65,0.34
400,0.3,2,0.75,0.0
400,0.35,2,0.65,0.11
400,0.35,2,0.75,0.0
400,0.4,2,0.65,0.0
400,0.4,2,0.75,0.0
400,0.45,2,0.65,0.0
400,0.45,2,0.75,0.0
400,0.5,2,0.65,0.0
400,0.5,2,0.75,0.0
