M,T,K,epsilon,result
1000,0.2,5,0.5,53
1000,0.2,5,0.65,6
1000,0.2,5,0.75,0
1000,0.25,5,0.5,49
1000,0.25,5,0.65,0
1000,0.25,5,0.75,0
1000,0.3,5,0.5,26
1000,0.3,5,0.65,0
1000,0.3,5,0.75,0
1000,0.35,5,0.5,10
1000,0.35,5,0.65,0
1000,0.35,5,0.75,0
1000,0.4,5,0.5,0
1000,0.4,5,0.65,0
1000,0.4,5,0.75,0
1000,0.45,5,0.5,1
1000,0.45,5,0.65,0
1000,0.45,5,0.75,0
1000,0.5,5,0.5,27
1000,0.5,5,0.65,0
1000,0.5,5,0.75,0
1000,0.55,5,0.65,0
1000,0.55,5,0.75,0
1000,0.6,5,0.65,0
1000,0.6,5,0.75,0
1000,0.65,5,0.65,27
1000,0.65,5,0.75,0
1000,0.67,5,0.75,0
1000,0.7,5,0.75,0
1000,0.75,5,0.75,28
