M,T,K,epsilon,result
50,0.65,2,0.65,0.052
50,0.65,5,0.65,0.061
50,0.75,2,0.75,0.062
50,0.75,5,0.75,0.05
100,0.65,2,0.65,0.062
100,0.65,5,0.65,0.057
100,0.75,2,0.75,0.066
100,0.75,5,0.75,0.052
200,0.65,2,0.65,0.072
200,0.65,5,0.65,0.069
200,0.75,2,0.75,0.053
200,0.75,5,0.75,0.044
250,0.65,2,0.65,0.059
250,0.65,5,0.65,0.05
250,0.75,2,0.75,0.062
250,0.75,5,0.75,0.053
300,0.65,2,0.65,0.048
300,0.65,5,0.65,0.052
300,0.75,2,0.75,0.052
300,0.75,5,0.75,0.046
350,0.65,2,0.65,0.047
350,0.65,5,0.65,0.056
350,0.75,2,0.75,0.061
350,0.75,5,0.75,0.049
400,0.65,2,0.65,0.064
400,0.65,5,0.65,0.051
400,0.75,2,0.75,0.055
400,0.75,5,0.75,0.055
