M,T,K,epsilon,result
50,0.5,2,0.55,0.05
50,0.5,2,0.6,0.0
50,0.5,2,0.65,0.0
50,0.5,2,0.7,0.0
50,0.5,2,0.75,0.0
50,0.5,5,0.5,0.04
50,0.5,5,0.55,0.05
50,0.5,5,0.6,0.04
50,0.5,5,0.65,0.01
50,0.5,5,0.7,0.0
50,0.5,5,0.75,0.0
50,0.65,2,0.65,0.06
50,0.65,2,0.7,0.03
50,0.65,2,0.75,0.02
50,0.65,5,0.65,0.04
50,0.65,5,0.7,0.03
50,0.65,5,0.75,0.03
50,0.75,2,0.75,0.02
50,0.75,5,0.75,0.06
100,0.5,2,0.55,0.02
100,0.5,2,0.6,0.0
100,0.5,2,0.65,0.0
100,0.5,2,0.7,0.0
100,0.5,2,0.75,0.0
100,0.5,5,0.5,0.04
100,0.5,5,0.55,0.02
100,0.5,5,0.6,0.01
100,0.5,5,0.65,0.02
100,0.5,5,0.7,0.0
100,0.5,5,0.75,0.0
100,0.65,2,0.65,0.05
100,0.65,2,0.7,0.01
100,0.65,2,0.75,0.01
100,0.65,5,0.65,0.05
100,0.65,5,0.7,0.01
100,0.65,5,0.75,0.0
100,0.75,2,0.75,0.02
100,0.75,5,0.75,0.06
200,0.5,2,0.55,0.0
200,0.5,2,0.6,0.0
200,0.5,2,0.65,0.0
200,0.5,2,0.7,0.0
200,0.5,2,0.75,0.0
200,0.5,5,0.5,0.06
200,0.5,5,0.55,0.03
200,0.5,5,0.6,0.0
200,0.5,5,0.65,0.0
200,0.5,5,0.7,0.0
200,0.5,5,0.75,0.0
200,0.65,2,0.65,0.09
200,0.65,2,0.7,0.0
200,0.65,2,0.75,0.0
200,0.65,5,0.65,0.06
200,0.65,5,0.7,0.01
200,0.65,5,0.75,0.0
200,0.75,2,0.75,0.05
200,0.75,5,0.75,0.03
250,0.5,2,0.55,0.0
250,0.5,2,0.6,0.0
250,0.5,2,0.65,0.0
250,0.5,2,0.7,0.0
250,0.5,2,0.75,0.0
250,0.5,5,0.5,0.07
250,0.5,5,0.55,0.03
250,0.5,5,0.6,0.0
250,0.5,5,0.65,0.0
250,0.5,5,0.7,0.0
250,0.5,5,0.75,0.0
250,0.65,2,0.65,0.08
250,0.65,2,0.7,0.0
250,0.65,2,0.75,0.0
250,0.65,5,0.65,0.04
250,0.65,5,0.7,0.02
250,0.65,5,0.75,0.0
250,0.75,2,0.75,0.06
250,0.75,5,0.75,0.08
300,0.5,2,0.55,0.01
300,0.5,2,0.6,0.0
300,0.5,2,0.65,0.0
300,0.5,2,0.7,0.0
300,0.5,2,0.75,0.0
300,0.5,5,0.5,0.05
300,0.5,5,0.55,0.0
300,0.5,5,0.6,0.0
300,0.5,5,0.65,0.0
300,0.5,5,0.7,0.0
300,0.5,5,0.75,0.0
300,0.65,2,0.65,0.07
300,0.65,2,0.7,0.0
300,0.65,2,0.75,0.0
300,0.65,5,0.65,0.09
300,0.65,5,0.7,0.0
300,0.65,5,0.75,0.0
300,0.75,2,0.75,0.07
300,0.75,5,0.75,0.06
350,0.5,2,0.55,0.01
350,0.5,2,0.6,0.0
350,0.5,2,0.65,0.0
350,0.5,2,0.7,0.0
350,0.5,2,0.75,0.0
350,0.5,5,0.5,0.03
350,0.5,5,0.55,0.0
350,0.5,5,0.6,0.0
350,0.5,5,0.65,0.0
350,0.5,5,0.7,0.0
350,0.5,5,0.75,0.0
350,0.65,2,0.65,0.07
350,0.65,2,0.7,0.01
350,0.65,2,0.75,0.0
350,0.65,5,0.65,0.05
350,0.65,5,0.7,0.02
350,0.65,5,0.75,0.0
350,0.75,2,0.75,0.08
350,0.75,5,0.75,0.06
400,0.5,2,0.55,0.0
400,0.5,2,0.6,0.0
400,0.5,2,0.65,0.0
400,0.5,2,0.7,0.0
400,0.5,2,0.75,0.0
400,0.5,5,0.5,0.12
400,0.5,5,0.55,0.01
400,0.5,5,0.6,0.0
400,0.5,5,0.65,0.0
400,0.5,5,0.7,0.0
400,0.5,5,0.75,0.0
400,0.65,2,0.65,0.07
400,0.65,2,0.7,0.02
400,0.65,2,0.75,0.0
400,0.65,5,0.65,0.13
400,0.65,5,0.7,0.0
400,0.65,5,0.75,0.0
400,0.75,2,0.75,0.05
400,0.75,5,0.75,0.04
450,0.5,2,0.55,0.01
450,0.5,2,0.6,0.0
450,0.5,2,0.65,0.0
450,0.5,2,0.7,0.0
450,0.5,2,0.75,0.0
450,0.5,5,0.5,0.13
450,0.5,5,0.55,0.0
450,0.5,5,0.6,0.0
450,0.5,5,0.65,0.0
450,0.5,5,0.7,0.0
450,0.5,5,0.75,0.0
450,0.65,2,0.65,0.03
450,0.65,2,0.7,0.0
450,0.65,2,0.75,0.0
450,0.65,5,0.65,0.05
450,0.65,5,0.7,0.0
450,0.65,5,0.75,0.0
450,0.75,2,0.75,0.06
450,0.75,5,0.75,0.03
500,0.5,2,0.55,0.0
500,0.5,2,0.6,0.0
500,0.5,2,0.65,0.0
500,0.5,2,0.7,0.0
500,0.5,2,0.75,0.0
500,0.5,5,0.5,0.05
500,0.5,5,0.55,0.0
500,0.5,5,0.6,0.0
500,0.5,5,0.65,0.0
500,0.5,5,0.7,0.0
500,0.5,5,0.75,0.0
500,0.65,2,0.65,0.06
500,0.65,2,0.7,0.0
500,0.65,2,0.75,0.0
500,0.65,5,0.65,0.07
500,0.65,5,0.7,0.0
500,0.65,5,0.75,0.0
500,0.75,2,0.75,0.04
500,0.75,5,0.75,0.03
1000,0.5,2,0.55,0.0
1000,0.5,2,0.6,0.0
1000,0.5,2,0.65,0.0
1000,0.5,2,0.7,0.0
1000,0.5,2,0.75,0.0
1000,0.5,5,0.5,0.07
1000,0.5,5,0.55,0.0
1000,0.5,5,0.6,0.0
1000,0.5,5,0.65,0.0
1000,0.5,5,0.7,0.0
1000,0.5,5,0.75,0.0
1000,0.65,2,0.65,0.02
1000,0.65,2,0.7,0.0
1000,0.65,2,0.75,0.0
1000,0.65,5,0.65,0.06
1000,0.65,5,0.7,0.0
1000,0.65,5,0.75,0.0
1000,0.75,2,0.75,0.07
1000,0.75,5,0.75,0.02
