M,T,K,epsilon,result
50,0.7,2,0.65,0.11
50,0.75,2,0.65,0.2
50,0.8,2,0.65,0.37
50,0.8,2,0.75,0.06
50,0.85,2,0.65,0.54
50,0.85,2,0.75,0.23
50,0.9,2,0.65,0.47
50,0.9,2,0.75,0.32
50,0.95,2,0.65,0.74
50,0.95,2,0.75,0.48
50,1.0,2,0.65,0.96
50,1.0,2,0.75,0.62
100,0.7,2,0.65,0.13
100,0.75,2,0.65,0.26
100,0.8,2,0.65,0.54
100,0.8,2,0.75,0.12
100,0.85,2,0.65,0.72
100,0.85,2,0.75,0.3
100,0.9,2,0.65,0.85
100,0.9,2,0.75,0.48
100,0.95,2,0.65,0.96
100,0.95,2,0.75,0.66
100,1.0,2,0.65,1.0
100,1.0,2,0.75,0.96
200,0.7,2,0.65,0.15
200,0.75,2,0.65,0.43
200,0.8,2,0.65,0.68
200,0.8,2,0.75,0.2
200,0.85,2,0.65,0.95
200,0.85,2,0.75,0.51
200,0.9,2,0.65,1.0
200,0.9,2,0.75,0.74
200,0.95,2,0.65,1.0
200,0.95,2,0.75,0.97
200,1.0,2,0.65,1.0
200,1.0,2,0.75,0.98
250,0.7,2,0.65,0.23
250,0.75,2,0.65,0.46
250,0.8,2,0.65,0.78
250,0.8,2,0.75,0.23
250,0.85,2,0.65,0.96
250,0.85,2,0.75,0.52
250,0.9,2,0.65,0.99
250,0.9,2,0.75,0.84
250,0.95,2,0.65,1.0
250,0.95,2,0.75,1.0
250,1.0,2,0.65,1.0
250,1.0,2,0.75,1.0
300,0.7,2,0.65,0.22
300,0.75,2,0.65,0.62
300,0.8,2,0.65,0.86
300,0.8,2,0.75,0.23
300,0.85,2,0.65,0.99
300,0.85,2,0.75,0.68
300,0.9,2,0.65,1.0
300,0.9,2,0.75,0.94
300,0.95,2,0.65,1.0
300,0.95,2,0.75,0.98
300,1.0,2,0.65,1.0
300,1.0,2,0.75,1.0
350,0.7,2,0.65,0.25
350,0.75,2,0.65,0.62
350,0.8,2,0.65,0.95
350,0.8,2,0.75,0.28
350,0.85,2,0.65,0.98
350,0.85,2,0.75,0.62
350,0.9,2,0.65,1.0
350,0.9,2,0.75,0.93
350,0.95,2,0.65,1.0
350,0.95,2,0.75,1.0
350,1.0,2,0.65,1.0
350,1.0,2,0.75,1.0
400,0.7,2,0.65,0.31
400,0.75,2,0.65,0.62
400,0.8,2,0.65,0.88
400,0.8,2,0.75,0.35
400,0.85,2,0.65,1.0
400,0.85,2,0.75,0.71
400,0.9,2,0.65,1.0
400,0.9,2,0.75,0.98
400,0.95,2,0.65,1.0
400,0.95,2,0.75,1.0
400,1.0,2,0.65,1.0
400,1.0,2,0.75,1.0
450,0.7,2,0.65,0.34
450,0.75,2,0.65,0.66
450,0.8,2,0.65,0.98
450,0.8,2,0.75,0.32
450,0.85,2,0.65,1.0
450,0.85,2,0.75,0.7
450,0.9,2,0.65,1.0
450,0.9,2,0.75,0.96
450,0.95,2,0.65,1.0
450,0.95,2,0.75,1.0
450,1.0,2,0.65,1.0
450,1.0,2,0.75,1.0
500,0.7,2,0.65,0.32
500,0.75,2,0.65,0.75
500,0.8,2,0.65,0.97
500,0.8,2,0.75,0.4
500,0.85,2,0.65,1.0
500,0.85,2,0.75,0.75
500,0.9,2,0.65,1.0
500,0.9,2,0.75,1.0
500,0.95,2,0.65,1.0
500,0.95,2,0.75,1.0
500,1.0,2,0.65,1.0
500,1.0,2,0.75,1.0
