M,T,K,epsilon,result
50,0.7,2,0.67,55
50,0.75,2,0.67,103
50,0.8,2,0.67,156
50,0.8,2,0.75,64
50,0.85,2,0.67,256
50,0.85,2,0.75,129
50,0.9,2,0.67,326
50,0.9,2,0.75,214
50,0.95,2,0.67,410
50,0.95,2,0.75,317
50,1.0,2,0.67,472
50,1.0,2,0.75,423
100,0.7,2,0.67,57
100,0.75,2,0.67,128
100,0.8,2,0.67,244
100,0.8,2,0.75,96
100,0.85,2,0.67,406
100,0.85,2,0.75,183
100,0.9,2,0.67,466
100,0.9,2,0.75,341
100,0.95,2,0.67,491
100,0.95,2,0.75,430
100,1.0,2,0.67,500
100,1.0,2,0.75,498
150,0.7,2,0.67,73
150,0.75,2,0.67,178
150,0.8,2,0.67,329
150,0.8,2,0.75,113
150,0.85,2,0.67,450
150,0.85,2,0.75,263
150,0.9,2,0.67,493
150,0.9,2,0.75,425
150,0.95,2,0.67,500
150,0.95,2,0.75,482
150,1.0,2,0.67,500
150,1.0,2,0.75,499
200,0.7,2,0.67,80
200,0.75,2,0.67,229
200,0.8,2,0.67,394
200,0.8,2,0.75,137
200,0.85,2,0.67,474
200,0.85,2,0.75,316
200,0.9,2,0.67,498
200,0.9,2,0.75,450
200,0.95,2,0.67,500
200,0.95,2,0.75,498
200,1.0,2,0.67,500
200,1.0,2,0.75,500
250,0.7,2,0.67,66
250,0.75,2,0.67,252
250,0.8,2,0.67,427
250,0.8,2,0.75,133
250,0.85,2,0.67,490
250,0.85,2,0.75,341
250,0.9,2,0.67,500
250,0.9,2,0.75,474
250,0.95,2,0.67,500
250,0.95,2,0.75,498
250,1.0,2,0.67,500
250,1.0,2,0.75,500
300,0.7,2,0.67,95
300,0.75,2,0.67,293
300,0.8,2,0.67,442
300,0.8,2,0.75,157
300,0.85,2,0.67,498
300,0.85,2,0.75,370
300,0.9,2,0.67,500
300,0.9,2,0.75,482
300,0.95,2,0.67,500
300,0.95,2,0.75,499
300,1.0,2,0.67,500
300,1.0,2,0.75,500
350,0.7,2,0.67,89
350,0.75,2,0.67,311
350,0.8,2,0.67,472
350,0.8,2,0.75,165
350,0.85,2,0.67,498
350,0.85,2,0.75,401
350,0.9,2,0.67,500
350,0.9,2,0.75,494
350,0.95,2,0.67,500
350,0.95,2,0.75,500
350,1.0,2,0.67,500
350,1.0,2,0.75,500
400,0.7,2,0.67,85
400,0.75,2,0.67,343
400,0.8,2,0.67,479
400,0.8,2,0.75,202
400,0.85,2,0.67,500
400,0.85,2,0.75,419
400,0.9,2,0.67,500
400,0.9,2,0.75,498
400,0.95,2,0.67,500
400,0.95,2,0.75,500
400,1.0,2,0.67,500
400,1.0,2,0.75,500
450,0.7,2,0.67,110
450,0.75,2,0.67,362
450,0.8,2,0.67,488
450,0.8,2,0.75,219
450,0.85,2,0.67,500
450,0.85,2,0.75,447
450,0.9,2,0.67,500
450,0.9,2,0.75,498
450,0.95,2,0.67,500
450,0.95,2,0.75,500
450,1.0,2,0.67,500
450,1.0,2,0.75,500
500,0.7,2,0.67,131
500,0.75,2,0.67,369
500,0.8,2,0.67,489
500,0.8,2,0.75,236
500,0.85,2,0.67,500
500,0.85,2,0.75,446
500,0.9,2,0.67,500
500,0.9,2,0.75,498
500,0.95,2,0.67,500
500,0.95,2,0.75,500
500,1.0,2,0.67,500
500,1.0,2,0.75,500
1000,0.7,2,0.67,178
1000,0.75,2,0.67,468
1000,0.8,2,0.67,500
1000,0.8,2,0.75,319
1000,0.85,2,0.67,500
1000,0.85,2,0.75,496
1000,0.9,2,0.67,500
1000,0.9,2,0.75,500
1000,0.95,2,0.67,500
1000,0.95,2,0.75,500
1000,1.0,2,0.67,500
1000,1.0,2,0.75,500
