M,T,K,epsilon,result
50,0.7,2,0.67,87
50,0.75,2,0.67,229
50,0.8,2,0.67,419
50,0.8,2,0.75,136
50,0.85,2,0.67,494
50,0.85,2,0.75,355
50,0.9,2,0.67,500
50,0.9,2,0.75,487
50,0.95,2,0.67,500
50,0.95,2,0.75,500
50,1.0,2,0.67,500
50,1.0,2,0.75,500
100,0.7,2,0.67,115
100,0.75,2,0.67,362
100,0.8,2,0.67,494
100,0.8,2,0.75,224
100,0.85,2,0.67,500
100,0.85,2,0.75,461
100,0.9,2,0.67,500
100,0.9,2,0.75,500
100,0.95,2,0.67,500
100,0.95,2,0.75,500
100,1.0,2,0.67,500
100,1.0,2,0.75,500
150,0.7,2,0.67,156
150,0.75,2,0.67,432
150,0.8,2,0.67,500
150,0.8,2,0.75,307
150,0.85,2,0.67,500
150,0.85,2,0.75,482
150,0.9,2,0.67,500
150,0.9,2,0.75,500
150,0.95,2,0.67,500
150,0.95,2,0.75,500
150,1.0,2,0.67,500
150,1.0,2,0.75,500
200,0.7,2,0.67,170
200,0.75,2,0.67,468
200,0.8,2,0.67,500
200,0.8,2,0.75,345
200,0.85,2,0.67,500
200,0.85,2,0.75,497
200,0.9,2,0.67,500
200,0.9,2,0.75,500
200,0.95,2,0.67,500
200,0.95,2,0.75,500
200,1.0,2,0.67,500
200,1.0,2,0.75,500
250,0.7,2,0.67,197
250,0.75,2,0.67,482
250,0.8,2,0.67,500
250,0.8,2,0.75,376
250,0.85,2,0.67,500
250,0.85,2,0.75,500
250,0.9,2,0.67,500
250,0.9,2,0.75,500
250,0.95,2,0.67,500
250,0.95,2,0.75,500
250,1.0,2,0.67,500
250,1.0,2,0.75,500
300,0.7,2,0.67,209
300,0.75,2,0.67,494
300,0.8,2,0.67,500
300,0.8,2,0.75,420
300,0.85,2,0.67,500
300,0.85,2,0.75,500
300,0.9,2,0.67,500
300,0.9,2,0.75,500
300,0.95,2,0.67,500
300,0.95,2,0.75,500
300,1.0,2,0.67,500
300,1.0,2,0.75,500
350,0.7,2,0.67,246
350,0.75,2,0.67,496
350,0.8,2,0.67,500
350,0.8,2,0.75,433
350,0.85,2,0.67,500
350,0.85,2,0.75,500
350,0.9,2,0.67,500
350,0.9,2,0.75,500
350,0.95,2,0.67,500
350,0.95,2,0.75,500
350,1.0,2,0.67,500
350,1.0,2,0.75,500
400,0.7,2,0.67,276
400,0.75,2,0.67,499
400,0.8,2,0.67,500
400,0.8,2,0.75,455
400,0.85,2,0.67,500
400,0.85,2,0.75,500
400,0.9,2,0.67,500
400,0.9,2,0.75,500
400,0.95,2,0.67,500
400,0.95,2,0.75,500
400,1.0,2,0.67,500
400,1.0,2,0.75,500
450,0.7,2,0.67,255
450,0.75,2,0.67,500
450,0.8,2,0.67,500
450,0.8,2,0.75,474
450,0.85,2,0.67,500
450,0.85,2,0.75,500
450,0.9,2,0.67,500
450,0.9,2,0.75,500
450,0.95,2,0.67,500
450,0.95,2,0.75,500
450,1.0,2,0.67,500
450,1.0,2,0.75,500
500,0.7,2,0.67,292
500,0.75,2,0.67,500
500,0.8,2,0.67,500
500,0.8,2,0.75,472
500,0.85,2,0.67,500
500,0.85,2,0.75,500
500,0.9,2,0.67,500
500,0.9,2,0.75,500
500,0.95,2,0.67,500
500,0.95,2,0.75,500
500,1.0,2,0.67,500
500,1.0,2,0.75,500
1000,0.7,2,0.67,410
1000,0.75,2,0.67,500
1000,0.8,2,0.67,500
1000,0.8,2,0.75,500
1000,0.85,2,0.67,500
1000,0.85,2,0.75,500
1000,0.9,2,0.67,500
1000,0.9,2,0.75,500
1000,0.95,2,0.67,500
1000,0.95,2,0.75,500
1000,1.0,2,0.67,500
1000,1.0,2,0.75,500
