M,T,K,epsilon,result
50,0.7,2,0.67,50
50,0.75,2,0.67,75
50,0.8,2,0.67,128
50,0.8,2,0.75,49
50,0.85,2,0.67,183
50,0.85,2,0.75,99
50,0.9,2,0.67,271
50,0.9,2,0.75,179
50,0.95,2,0.67,365
50,0.95,2,0.75,241
50,1.0,2,0.67,432
50,1.0,2,0.75,348
100,0.7,2,0.67,46
100,0.75,2,0.67,112
100,0.8,2,0.67,199
100,0.8,2,0.75,69
100,0.85,2,0.67,308
100,0.85,2,0.75,148
100,0.9,2,0.67,415
100,0.9,2,0.75,261
100,0.95,2,0.67,470
100,0.95,2,0.75,386
100,1.0,2,0.67,492
100,1.0,2,0.75,473
150,0.7,2,0.67,47
150,0.75,2,0.67,153
150,0.8,2,0.67,249
150,0.8,2,0.75,94
150,0.85,2,0.67,386
150,0.85,2,0.75,227
150,0.9,2,0.67,471
150,0.9,2,0.75,333
150,0.95,2,0.67,495
150,0.95,2,0.75,456
150,1.0,2,0.67,500
150,1.0,2,0.75,499
200,0.7,2,0.67,63
200,0.75,2,0.67,161
200,0.8,2,0.67,305
200,0.8,2,0.75,99
200,0.85,2,0.67,433
200,0.85,2,0.75,230
200,0.9,2,0.67,489
200,0.9,2,0.75,386
200,0.95,2,0.67,499
200,0.95,2,0.75,482
200,1.0,2,0.67,500
200,1.0,2,0.75,500
250,0.7,2,0.67,71
250,0.75,2,0.67,194
250,0.8,2,0.67,349
250,0.8,2,0.75,106
250,0.85,2,0.67,459
250,0.85,2,0.75,266
250,0.9,2,0.67,492
250,0.9,2,0.75,426
250,0.95,2,0.67,500
250,0.95,2,0.75,492
250,1.0,2,0.67,500
250,1.0,2,0.75,500
300,0.7,2,0.67,60
300,0.75,2,0.67,224
300,0.8,2,0.67,376
300,0.8,2,0.75,125
300,0.85,2,0.67,488
300,0.85,2,0.75,313
300,0.9,2,0.67,500
300,0.9,2,0.75,452
300,0.95,2,0.67,500
300,0.95,2,0.75,499
300,1.0,2,0.67,500
300,1.0,2,0.75,500
350,0.7,2,0.67,86
350,0.75,2,0.67,232
350,0.8,2,0.67,429
350,0.8,2,0.75,109
350,0.85,2,0.67,488
350,0.85,2,0.75,321
350,0.9,2,0.67,499
350,0.9,2,0.75,472
350,0.95,2,0.67,500
350,0.95,2,0.75,499
350,1.0,2,0.67,500
350,1.0,2,0.75,500
400,0.7,2,0.67,66
400,0.75,2,0.67,251
400,0.8,2,0.67,431
400,0.8,2,0.75,165
400,0.85,2,0.67,496
400,0.85,2,0.75,361
400,0.9,2,0.67,500
400,0.9,2,0.75,479
400,0.95,2,0.67,500
400,0.95,2,0.75,499
400,1.0,2,0.67,500
400,1.0,2,0.75,500
450,0.7,2,0.67,83
450,0.75,2,0.67,267
450,0.8,2,0.67,448
450,0.8,2,0.75,147
450,0.85,2,0.67,496
450,0.85,2,0.75,370
450,0.9,2,0.67,499
450,0.9,2,0.75,487
450,0.95,2,0.67,500
450,0.95,2,0.75,500
450,1.0,2,0.67,500
450,1.0,2,0.75,500
500,0.7,2,0.67,88
500,0.75,2,0.67,282
500,0.8,2,0.67,464
500,0.8,2,0.75,158
500,0.85,2,0.67,498
500,0.85,2,0.75,397
500,0.9,2,0.67,500
500,0.9,2,0.75,497
500,0.95,2,0.67,500
500,0.95,2,0.75,500
500,1.0,2,0.67,500
500,1.0,2,0.75,500
1000,0.7,2,0.67,141
1000,0.75,2,0.67,416
1000,0.8,2,0.67,497
1000,0.8,2,0.75,267
1000,0.85,2,0.67,499
1000,0.85,2,0.75,483
1000,0.9,2,0.67,500
1000,0.9,2,0.75,500
1000,0.95,2,0.67,500
1000,0.95,2,0.75,500
1000,1.0,2,0.67,500
1000,1.0,2,0.75,500
