M,T,K,epsilon,result
50,0.55,5,0.5,0.078
50,0.6,5,0.5,0.194
50,0.65,5,0.5,0.316
50,0.7,5,0.5,0.472
50,0.7,5,0.65,0.102
50,0.75,5,0.5,0.57
50,0.75,5,0.65,0.19
50,0.8,5,0.5,0.74
50,0.8,5,0.65,0.35
50,0.8,5,0.75,0.12
50,0.85,5,0.5,0.854
50,0.85,5,0.65,0.512
50,0.85,5,0.75,0.198
50,0.9,5,0.5,0.938
50,0.9,5,0.65,0.652
50,0.9,5,0.75,0.336
50,0.95,5,0.5,0.976
50,0.95,5,0.65,0.806
50,0.95,5,0.75,0.538
50,1.0,5,0.5,1.0
50,1.0,5,0.65,0.914
50,1.0,5,0.75,0.704
100,0.55,5,0.5,0.15
100,0.6,5,0.5,0.302
100,0.65,5,0.5,0.514
100,0.7,5,0.5,0.7
100,0.7,5,0.65,0.152
100,0.75,5,0.5,0.77
100,0.75,5,0.65,0.264
100,0.8,5,0.5,0.902
100,0.8,5,0.65,0.494
100,0.8,5,0.75,0.162
100,0.85,5,0.5,0.99
100,0.85,5,0.65,0.724
100,0.85,5,0.75,0.326
100,0.9,5,0.5,0.996
100,0.9,5,0.65,0.91
100,0.9,5,0.75,0.53
100,0.95,5,0.5,1.0
100,0.95,5,0.65,0.962
100,0.95,5,0.75,0.786
100,1.0,5,0.5,1.0
100,1.0,5,0.65,0.992
100,1.0,5,0.75,0.938
150,0.55,5,0.5,0.17
150,0.6,5,0.5,0.34
150,0.65,5,0.5,0.582
150,0.7,5,0.5,0.812
150,0.7,5,0.65,0.158
150,0.75,5,0.5,0.908
150,0.75,5,0.65,0.392
150,0.8,5,0.5,0.986
150,0.8,5,0.65,0.634
150,0.8,5,0.75,0.176
150,0.85,5,0.5,1.0
150,0.85,5,0.65,0.858
150,0.85,5,0.75,0.412
150,0.9,5,0.5,1.0
150,0.9,5,0.65,0.98
150,0.9,5,0.75,0.72
150,0.95,5,0.5,1.0
150,0.95,5,0.65,0.998
150,0.95,5,0.75,0.896
150,1.0,5,0.5,1.0
150,1.0,5,0.65,1.0
150,1.0,5,0.75,0.984
200,0.55,5,0.5,0.182
200,0.6,5,0.5,0.446
200,0.65,5,0.5,0.666
200,0.7,5,0.5,0.886
200,0.7,5,0.65,0.196
200,0.75,5,0.5,0.964
200,0.75,5,0.65,0.458
200,0.8,5,0.5,0.998
200,0.8,5,0.65,0.764
200,0.8,5,0.75,0.196
200,0.85,5,0.5,1.0
200,0.85,5,0.65,0.912
200,0.85,5,0.75,0.5
200,0.9,5,0.5,1.0
200,0.9,5,0.65,0.99
