M,T,K,epsilon,result
50,0.25,5,0.5,0.0
50,0.3,5,0.5,0.0
50,0.35,5,0.5,0.0
50,0.4,5,0.5,0.02
50,0.45,5,0.5,0.04
50,0.5,5,0.5,0.03
100,0.25,5,0.5,0.0
100,0.3,5,0.5,0.0
100,0.35,5,0.5,0.02
100,0.4,5,0.5,0.01
100,0.45,5,0.5,0.01
100,0.5,5,0.5,0.07
200,0.25,5,0.5,0.0
200,0.3,5,0.5,0.0
200,0.35,5,0.5,0.0
200,0.4,5,0.5,0.0
200,0.45,5,0.5,0.01
200,0.5,5,0.5,0.1
250,0.25,5,0.5,0.0
250,0.3,5,0.5,0.0
250,0.35,5,0.5,0.0
250,0.4,5,0.5,0.01
250,0.45,5,0.5,0.01
250,0.5,5,0.5,0.06
300,0.25,5,0.5,0.0
300,0.3,5,0.5,0.0
300,0.35,5,0.5,0.0
300,0.4,5,0.5,0.0
300,0.45,5,0.5,0.0
300,0.5,5,0.5,0.07
350,0.25,5,0.5,0.0
350,0.3,5,0.5,0.0
350,0.35,5,0.5,0.0
350,0.4,5,0.5,0.0
350,0.45,5,0.5,0.0
350,0.5,5,0.5,0.05
400,0.25,5,0.5,0.0
400,0.3,5,0.5,0.0
400,0.35,5,0.5,0.0
400,0.4,5,0.5,0.0
400,0.45,5,0.5,0.0
400,0.5,5,0.5,0.08
450,0.25,5,0.5,0.0
450,0.3,5,0.5,0.0
450,0.35,5,0.5,0.0
450,0.4,5,0.5,0.0
450,0.45,5,0.5,0.0
450,0.5,5,0.5,0.03
500,0.25,5,0.5,0.0
500,0.3,5,0.5,0.0
500,0.35,5,0.5,0.0
500,0.4,5,0.5,0.0
500,0.45,5,0.5,0.01
500,0.5,5,0.5,0.0
1000,0.25,5,0.5,0.0
1000,0.3,5,0.5,0.0
1000,0.35,5,0.5,0.0
1000,0.4,5,0.5,0.01
1000,0.45,5,0.5,0.0
1000,0.5,5,0.5,0.05
